,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
product_category_name,papelaria,tablets_impressao_imagem,alimentos_bebidas,construcao_ferramentas_jardim,construcao_ferramentas_construcao,utilidades_domesticas,agro_industria_e_comercio,automotivo,cama_mesa_banho,moveis_colchao_e_estofado,perfumaria,esporte_lazer,la_cuisine,livros_interesse_geral,moveis_quarto,cine_foto,portateis_casa_forno_e_cafe,cds_dvds_musicais,fraldas_higiene,artes_e_artesanato,livros_importados,dvds_blu_ray,flores,bebidas,livros_tecnicos,pcs,fashion_roupa_infanto_juvenil,artigos_de_natal,casa_construcao,eletrodomesticos_2,moveis_sala,instrumentos_musicais,fashion_roupa_feminina,fashion_esporte,alimentos,artes,sinalizacao_e_seguranca,industria_comercio_e_negocios,fashion_underwear_e_moda_praia
2016-02-21,0,18,78,68,0,0,0,67,97,0,45,67,0,72,33,66,31,29,78,97,35,89,50,100,0,51,0,90,70,0,14,44,35,0,77,38,58,95,35
2016-02-28,15,26,65,50,0,0,0,59,0,0,38,47,47,78,0,49,61,47,48,97,17,90,48,33,0,50,0,86,31,44,27,65,35,34,77,19,48,42,53
2016-03-06,47,27,77,68,19,0,21,63,0,0,35,48,0,90,33,71,41,43,20,99,44,91,47,33,0,51,0,87,24,0,41,57,89,34,85,29,87,38,59
2016-03-13,46,27,67,34,37,0,21,97,0,0,36,45,0,72,0,78,80,33,39,94,69,90,51,0,0,25,0,92,23,44,27,47,70,0,81,28,10,51,43
2016-03-20,32,23,73,70,20,0,0,76,50,0,27,58,49,71,0,58,21,40,30,75,45,82,52,0,0,52,0,92,32,0,28,46,37,0,83,30,20,20,39
2016-03-27,31,23,78,50,0,0,21,59,0,0,30,37,0,72,0,61,60,80,29,93,35,97,52,33,0,0,37,89,39,0,27,52,18,33,83,19,66,51,45
2016-04-03,0,23,71,17,0,50,64,58,0,0,32,68,47,77,0,53,51,57,86,91,34,97,54,33,0,25,0,91,62,22,53,51,17,34,81,75,19,70,30
2016-04-10,30,30,74,33,18,0,0,79,0,46,33,67,0,79,0,56,89,46,47,91,60,100,60,64,0,49,0,91,76,0,26,51,17,65,83,28,65,36,57
2016-04-17,46,25,51,34,38,0,42,71,48,0,29,56,0,77,0,49,81,66,19,81,43,87,51,0,0,75,37,97,31,65,40,50,0,0,82,57,38,42,45
2016-04-24,15,30,74,67,37,0,21,63,0,0,34,69,0,84,33,45,91,61,19,86,43,93,56,33,26,25,0,93,62,0,0,49,17,33,77,38,29,51,63
2016-05-01,63,27,85,69,19,0,22,64,0,0,33,78,0,94,0,52,31,38,69,82,27,93,57,0,27,51,0,95,24,23,27,61,54,0,78,29,49,43,59
2016-05-08,15,23,74,0,73,0,40,64,0,0,30,39,0,85,0,66,59,46,9,84,25,91,49,0,100,49,0,94,38,0,26,48,68,0,75,9,64,55,52
2016-05-15,58,21,76,16,18,0,40,64,0,0,31,50,0,77,0,54,96,58,55,90,57,92,58,31,25,47,0,92,15,21,13,47,33,0,84,27,63,53,43
2016-05-22,16,25,75,35,0,0,0,100,0,0,30,44,0,75,0,44,52,53,90,79,36,87,53,34,0,0,0,100,24,23,0,47,36,0,82,29,40,34,52
2016-05-29,15,27,79,100,19,0,21,73,0,0,32,87,93,80,0,73,100,46,57,88,9,94,51,0,0,25,0,94,85,22,13,51,35,0,80,9,47,46,37
2016-06-05,0,24,77,33,18,0,21,75,47,46,35,62,0,81,32,50,60,61,57,80,26,91,57,33,26,25,0,90,8,22,13,40,34,33,81,37,29,28,64
2016-06-12,47,25,84,34,19,0,0,65,0,0,32,67,0,73,33,52,10,43,29,76,18,82,57,0,0,76,0,93,63,0,0,51,18,68,80,29,77,24,66
2016-06-19,48,28,71,52,19,53,0,63,100,0,32,44,0,75,0,78,52,34,100,74,63,88,58,0,0,0,0,91,24,23,0,42,0,0,73,59,69,39,34
2016-06-26,16,25,59,35,19,0,44,63,50,0,30,85,0,72,0,72,31,43,30,67,36,84,54,34,27,0,0,93,24,23,41,49,36,0,83,39,69,62,47
2016-07-03,33,28,75,36,0,0,67,67,51,0,29,59,0,76,0,100,32,34,62,69,46,84,61,34,0,27,39,92,33,23,14,44,56,0,85,10,30,44,40
2016-07-10,16,24,71,34,0,52,0,59,0,48,28,57,0,73,0,50,85,34,49,66,27,82,52,0,27,26,0,89,47,46,27,51,71,0,87,38,30,24,28
2016-07-17,33,21,79,36,0,54,45,63,51,0,30,45,0,70,0,48,65,25,20,66,55,75,52,0,0,27,0,91,49,0,14,53,37,0,83,100,51,35,43
2016-07-24,32,20,93,35,58,0,0,63,0,0,30,74,0,73,34,61,64,25,30,68,45,83,53,0,0,0,38,89,40,46,0,50,18,0,81,29,10,15,42
2016-07-31,0,16,78,70,0,0,22,61,0,0,29,28,0,71,34,60,42,39,20,71,45,83,52,0,27,0,0,87,40,0,14,51,37,0,74,59,20,39,45
2016-08-07,100,19,64,18,0,0,23,61,52,0,34,66,0,71,0,51,55,46,42,75,19,85,49,0,0,0,0,86,84,71,29,44,19,0,72,10,10,36,27
2016-08-14,17,17,69,37,0,0,23,63,0,0,29,49,0,70,0,60,33,46,32,73,38,88,55,0,28,0,40,85,59,0,15,51,38,0,71,41,10,25,36
2016-08-21,16,18,72,0,100,0,68,60,0,0,31,62,0,74,69,70,65,15,31,75,55,89,55,35,0,27,0,93,41,47,14,43,37,0,73,20,31,45,37
2016-08-28,0,16,65,85,19,0,0,64,0,0,27,81,0,85,0,41,31,38,29,79,26,91,52,0,27,0,0,89,24,45,0,47,89,0,74,48,29,33,46
2016-09-04,0,23,67,36,20,0,45,63,0,51,31,54,51,86,0,33,44,31,31,79,66,87,57,0,28,27,0,90,25,0,14,49,57,0,84,41,41,5,41
2016-09-11,62,17,79,68,19,0,0,60,0,0,30,77,0,80,0,35,30,43,39,91,26,93,47,0,0,25,0,85,23,45,54,47,35,0,86,38,29,23,38
2016-09-18,32,19,74,0,19,53,43,64,0,0,35,85,0,95,0,36,21,48,60,87,27,95,64,0,0,0,0,88,40,0,28,46,18,34,76,20,49,39,49
2016-09-25,32,27,80,52,19,0,43,69,0,0,33,68,0,84,34,55,53,49,30,80,18,94,59,0,27,26,0,85,16,0,14,44,0,0,72,39,49,34,49
2016-10-02,15,17,72,17,0,0,64,59,0,0,29,63,0,78,0,42,70,14,19,92,34,80,51,0,0,50,36,80,69,0,13,54,17,0,69,19,19,37,32
2016-10-09,16,17,82,35,0,54,23,66,0,0,34,61,0,77,34,39,99,31,82,73,37,79,56,0,0,0,0,86,33,23,57,48,18,0,73,30,10,25,34
2016-10-16,16,20,81,0,19,0,0,64,0,48,33,43,0,74,100,29,31,29,59,78,53,96,55,34,54,51,0,85,63,45,14,52,54,0,88,48,29,48,44
